Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1857,-0.5657638,-1.0163538,-0.107737675
1858,-0.5133705,-0.9410032,-0.07790175
1859,-0.23374537,-0.65783936,0.19825765
1860,-0.6895078,-1.1221203,-0.24913765
1861,-0.42564762,-0.85535645,0.011825855
1862,-0.6453584,-1.0762597,-0.20669612
1863,-0.2510292,-0.68935096,0.19491751
1864,-0.770459,-1.2027074,-0.3304828
1865,-0.3894215,-0.8185977,0.047611903
1866,-0.38385135,-0.79201275,0.03271156
1867,-0.59209853,-0.9955852,-0.1801547
1868,-0.4107019,-0.80807054,-0.004704807
1869,-0.37663925,-0.76361275,0.019145273
1870,-0.5441607,-0.92026067,-0.15902823
1871,-0.66085374,-1.0366577,-0.27604714
1872,-0.35006937,-0.71258765,0.021766495
1873,-0.39482796,-0.7454905,-0.034528263
1874,-0.46574357,-0.81599355,-0.10585169
1875,-0.807789,-1.1373444,-0.4679044
1876,-0.50401145,-0.8346261,-0.16303493
1877,-0.24599184,-0.57939714,0.09771927
1878,-0.03779209,-0.36932507,0.30413923
1879,-0.56802624,-0.8928428,-0.23263583
1880,-0.39829966,-0.72322744,-0.06279219
1881,-0.44153607,-0.75652087,-0.115657136
1882,-0.32730234,-0.63701636,-0.00645254
1883,-0.5985442,-0.9040579,-0.28166214
1884,-0.7249102,-1.0289143,-0.4094937
1885,-0.70666355,-1.0101632,-0.39177898
1886,-0.55277526,-0.8589947,-0.23521864
1887,-0.6124252,-0.91717136,-0.29630986
1888,-0.6072108,-0.9086259,-0.29433194
1889,-0.27811563,-0.5817738,0.036991525
1890,-0.45472625,-0.7562049,-0.14168335
1891,-0.5426825,-0.8436116,-0.23012279
1892,-0.60502577,-0.90753025,-0.29091528
1893,-0.6791759,-0.9786699,-0.3679491
1894,-0.46972725,-0.76396114,-0.16357027
1895,-0.57248884,-0.8685692,-0.26454985
1896,-0.38988397,-0.6848538,-0.08300345
1897,-0.3160321,-0.6088358,-0.011219309
1898,-0.39859813,-0.6895984,-0.09547169
1899,-0.34147948,-0.6343513,-0.03654264
1900,-0.20536323,-0.49396154,0.09527288
1901,-0.17303877,-0.45601627,0.12202399
1902,-0.40557805,-0.6837174,-0.115325086
1903,-0.43788943,-0.71368927,-0.15008564
1904,-0.54526806,-0.8180696,-0.2605235
