0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,18950101,0,0,0,0,0,100,0,0,0,0,0
0,18950201,0,0,0,0,0,100,0,0,0,0,0
0,18950301,0,0,0,0,0,100,0,0,0,0,0
0,18950401,0,0,0,0,0,100,0,0,0,0,0
0,18950501,0,0,0,0,0,100,0,0,0,0,0
0,18950601,0,0,0,0,0,100,0,0,0,0,0
0,18950701,0,0,0,0,0,100,0,0,0,0,0
0,18950801,0,0,0,0,0,100,0,0,0,0,0
44.7,18950901,37.9,24.8,12.6,7.9,4.7,0,17.4,9.3,3,0.6,0.1
33,18951001,59.4,45.8,26.7,18.6,11.8,0,7.6,5.1,2.5,0.6,0
40.4,18951101,51.4,38.4,19.4,12.9,7,0,8.1,4.7,2,0.5,0
38.6,18951201,50,33.3,12.5,5.9,2,0,11.3,6.4,2.3,0.5,0
38.4,18960101,42.8,30.4,12.7,5.9,2,0,18.8,10,3.4,1.2,0
43.1,18960201,42.3,29.6,13.3,6,2,0,14.7,7.3,1.4,0.3,0.1
47,18960301,41.2,27.8,9.8,4.7,1.7,0,11.8,4.6,0.9,0.3,0.1
42.3,18960401,43.4,28.6,10.9,4,1,0,14.3,6.3,1.2,0.5,0.1
34.9,18960501,43.2,30.5,13,5.8,1.3,0,21.9,15.1,7,3.4,1.1
41.8,18960601,36.7,20.6,5.4,1.8,0.2,0,21.5,13.3,4.8,2.9,1.6
42.9,18960701,22.9,13.8,4.6,1.8,0.2,0,34.2,23.3,9,4.5,1.6
36.2,18960801,32.4,23.3,11.8,7.5,2.4,0,31.4,21.9,9.6,3.8,0.9
42.2,18960901,25.5,17.7,8.7,4.7,1.5,0,32.4,21.5,8.7,3.8,0.8
50.2,18961001,20.6,12.2,5.4,3.4,1.4,0,29.1,17.6,5,1.4,0.3
36.6,18961101,21.6,12.2,4.8,3,1.1,0,41.6,30.1,13.9,7,3.2
38.8,18961201,25.9,17.3,8.7,4.6,1.6,0,35.3,25,10.9,5.1,1.6
41.5,18970101,24.2,15.8,5.8,2,0.2,0,34.4,20.5,7.2,2.9,0.7
43.9,18970201,16.8,10.1,3.2,1.7,0.4,0,39.3,23.3,5.9,2.5,0.6
35.3,18970301,10.3,5.5,0.9,0.3,0.1,0,54.4,37.9,13.8,5.7,1.2
42.4,18970401,10.6,5.3,1.1,0.2,0,0,47,27.8,8.4,3.5,1.1
47.1,18970501,11.1,5.2,1.6,0.7,0.1,0,41.7,24.4,6.6,3.2,1.1
44.5,18970601,16.9,8.9,2.6,1.2,0.3,0,38.5,23.3,8.4,4.1,1.5
44.2,18970701,16.1,9.5,3.7,1.9,0.7,0,39.7,25,10.2,4.9,2.1
50.8,18970801,21.8,12.2,3.8,1.8,0.6,0,27.5,15.2,5,1.9,0.1
46.7,18970901,23.7,13.7,3.8,1.8,0.7,0,29.5,17.7,5.2,1.2,0.1
39.4,18971001,30.2,20.8,8,4,1.5,0,30.5,17.9,5.8,2,0.4
45,18971101,34.4,23.8,8.7,4.2,1.3,0,20.7,12,4.3,2,1.1
35.9,18971201,45.7,34.4,15.7,8.7,3.2,0,18.5,11.9,4.1,2.1,1.1
39.4,18980101,42,31.4,14.1,7.8,3.1,0,18.8,12.1,4.8,2.8,1.2
40.4,18980201,40.2,26.5,11.6,6.9,2.9,0,19.3,12,4.8,3.1,1.5
41,18980301,39.1,27.5,11.6,6.4,2.7,0,20,12.1,4.2,1.9,0.6
39.5,18980401,45.2,31.4,16.7,9.9,3.6,0,15.3,7.7,1.9,0.8,0.4
35.5,18980501,37.4,27.6,13.2,8,3.8,0,27.1,17.2,6.4,3.8,1.5
38.1,18980601,28.7,20.1,9.7,6.5,3.2,0,33.2,21.3,9.6,4.8,1.8
39.2,18980701,28.4,19.3,9.2,6,2.1,0,32.4,22.9,10.6,5.9,1.9
42.6,18980801,25.9,15.7,5.1,2.7,0.8,0,31.5,21.2,9.5,4.8,1.4
40.3,18980901,32.6,21.8,8.6,4.3,1.7,0,27.2,18.4,7.2,3.9,1.4
40.1,18981001,32.9,20.7,8.6,4.8,1.6,0,27.1,15.9,6.1,3.3,1.2
39.2,18981101,29.3,18.6,6.2,2.6,0.8,0,31.4,20.2,7.5,3.7,1.3
42.9,18981201,30.7,19.3,5.9,2.8,1.1,0,26.5,16.8,4.5,1.8,0.8
46.3,18990101,22,11.8,4.1,2.3,0.9,0,31.8,21.2,7.4,3.2,0.9
38.2,18990201,32,21.3,8.6,5,2.3,0,29.8,19.4,9.5,6.3,3.2
38.8,18990301,31.2,20.7,7.9,3.7,1.5,0,30,21.9,12.9,8.5,4.6
38.6,18990401,36.6,25.3,12.5,6.7,2.1,0,24.8,18.7,9.5,5.3,2.3
38.9,18990501,36.2,25.7,12.9,6.6,2.8,0,25,15.1,5.1,2.2,0.5
39.3,18990601,32.5,18.9,6,2.2,0.5,0,28.3,18.5,6.6,1.9,0.4
50.4,18990701,26,15.3,4,1.9,0.5,0,23.5,13.6,4.2,1.5,0.3
47.9,18990801,30.8,19.1,6.3,2,0.7,0,21.4,12.9,4.4,1.9,0.6
41.5,18990901,37.7,24.6,9.7,4.7,1.6,0,20.7,11.9,3.8,1.7,0.4
40.8,18991001,36.1,23.9,11.8,6.5,2.1,0,23,13.3,4,1.9,0.6
39.9,18991101,40.7,27.8,13.6,7.2,2.2,0,19.4,11.6,4.5,2.4,0.6
35.9,18991201,46.3,34.7,16.8,7.9,2.3,0,18,10.1,2.6,1,0.2
