Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1753,-37,21,71,81,137,187,195,159,144,100,35,35
1754,-2,0,15,79,145,171,175,189,149,115,66,16
1755,-52,-14,43,131,126,186,186,165,137,92,44,10
1756,16,26,48,81,122,184,184,164,150,93,24,-20
1757,-26,0,37,93,145,182,213,171,124,59,48,-1
1758,-36,3,50,80,141,174,144,166,124,75,29,7
1759,-2,19,45,103,142,163,208,171,152,113,8,-7
1760,-12,11,30,125,142,177,191,167,149,97,45,27
1761,-31,31,66,88,150,170,197,194,157,84,41,-18
1762,15,-1,15,123,163,173,214,176,144,81,34,-35
1763,-36,48,34,92,127,174,187,199,133,83,34,22
1764,33,34,25,77,155,182,195,161,131,73,32,14
1765,15,-5,59,85,140,188,174,173,137,102,36,-8
1766,-59,-12,41,104,142,184,182,195,162,107,48,-6
1767,-44,50,49,81,132,173,193,185,147,98,70,-16
1768,-23,20,23,98,144,161,189,183,139,109,55,9
1769,8,18,30,98,143,163,188,178,144,64,67,14
1770,-20,3,27,65,139,164,162,188,159,89,49,13
1771,7,11,49,61,155,158,201,175,149,101,25,29
1772,3,45,66,89,124,188,189,188,162,120,67,25
1773,17,-8,34,82,130,171,179,173,150,99,48,28
1774,16,27,75,103,132,168,180,196,134,80,24,-15
1775,10,41,56,75,120,179,182,173,147,96,45,1
1776,-26,37,68,97,122,175,196,190,130,100,42,9
1777,-7,5,76,80,124,168,178,195,145,115,51,-10
1778,-3,4,54,106,148,167,211,197,129,99,55,30
1779,-47,16,48,116,153,156,186,180,154,122,53,44
1780,-22,-8,72,81,155,181,202,198,151,101,34,-5
1781,10,29,54,120,165,179,204,195,153,85,59,36
1782,22,-35,38,82,122,195,216,178,134,76,15,-16
1783,24,35,42,88,145,164,213,179,151,108,55,21
1784,-16,-10,43,63,164,185,200,167,163,66,42,-33
1785,1,-26,-34,46,148,177,183,164,161,91,43,16
1786,4,16,26,99,137,190,176,165,142,74,30,10
1787,-27,2,67,87,115,183,185,188,145,103,52,43
1788,8,39,68,95,151,180,206,180,153,84,17,-57
1789,-17,26,14,102,159,153,179,183,137,86,29,10
1790,3,21,56,81,150,178,178,192,134,116,56,19
1791,26,15,49,124,142,177,192,205,154,101,28,20
1792,5,11,66,114,134,178,192,188,135,112,50,14
1793,-15,28,58,87,131,168,219,210,140,110,50,25
1794,-1,48,75,128,139,179,225,179,131,94,57,-14
1795,-63,19,45,112,149,179,171,193,164,123,32,25
1796,17,19,21,93,139,169,182,188,161,98,43,-15
1797,-4,9,36,108,160,146,208,193,145,91,54,27
1798,0,3,39,104,146,179,185,187,148,93,46,-6
1799,-24,38,43,72,123,161,176,183,149,90,30,-31
1800,19,12,22,122,158,154,200,186,148,74,58,2
1801,15,18,60,99,144,160,184,178,153,97,53,20
1802,-59,8,54,105,145,186,177,210,165,121,52,16
1803,-12,-20,46,117,122,176,206,204,133,83,58,31
1804,49,-8,40,93,158,190,179,182,150,93,62,0
1805,-14,10,37,73,124,158,176,167,145,71,17,-14
1806,32,36,44,67,154,186,178,172,144,104,61,38
1807,-22,16,9,72,157,171,213,213,136,108,49,-23
1808,-14,-25,11,66,157,149,189,183,140,60,43,-31
1809,20,37,45,44,139,167,173,173,131,77,23,17
1810,-48,-28,81,86,143,159,167,167,160,106,58,20
1811,-36,38,61,108,154,188,199,175,150,118,53,-2
1812,-58,30,42,68,143,165,174,167,136,92,22,-27
1813,-28,31,33,96,145,154,151,163,128,100,38,11
1814,-26,-37,24,102,115,162,183,167,120,78,56,37
1815,-36,30,69,96,149,165,181,168,149,108,25,3
1816,0,-4,38,84,135,147,149,149,134,98,31,7
1817,23,41,46,63,123,181,175,167,170,70,55,1
1818,-2,21,41,88,124,171,196,171,130,86,64,3
1819,14,25,53,102,137,163,180,171,148,91,37,19
1820,-8,19,27,116,143,157,171,186,117,86,17,7
1821,16,-5,54,98,124,145,163,181,146,94,73,49
1822,-2,28,81,90,157,213,189,173,150,107,73,-16
1823,-23,32,42,87,146,151,171,178,150,78,25,24
1824,-13,16,29,70,130,151,197,179,151,92,68,34
1825,-8,7,31,110,133,171,182,183,162,100,61,47
1826,-56,21,62,88,118,169,197,205,156,104,33,15
1827,-13,-22,61,100,144,166,213,179,144,106,21,49
1828,22,20,56,96,148,181,188,163,151,103,53,28
1829,-22,-3,51,87,133,157,182,163,126,74,29,-35
1830,-66,-17,69,116,139,159,187,179,124,84,53,3
1831,-26,7,69,105,137,155,184,175,132,114,55,25
1832,-12,11,44,86,125,157,197,204,138,94,45,21
1833,-14,49,41,71,168,185,165,163,130,100,50,55
1834,50,25,58,76,162,189,209,191,180,106,55,-3
1835,4,26,42,85,139,174,211,180,144,80,17,-20
1836,-8,3,68,72,107,169,197,181,130,92,47,19
1837,-4,15,13,59,105,189,181,195,124,90,29,8
1838,-58,-2,49,59,133,159,179,163,136,88,59,5
1839,-6,6,39,64,118,183,189,161,130,107,66,49
1840,18,5,6,98,130,171,161,177,127,68,60,-29
1841,-14,1,56,80,157,151,160,162,146,102,51,25
1842,-27,-31,53,79,137,191,179,188,129,67,35,4
1843,10,33,44,88,113,140,162,172,151,94,48,8
1844,-5,1,42,106,123,183,175,149,154,96,51,-9
1845,10,-29,25,91,107,168,181,151,150,96,63,35
1846,2,33,60,87,137,190,193,187,149,98,49,-21
1847,-8,-1,29,62,152,143,186,169,120,90,35,-9
1848,-46,28,41,94,137,163,182,172,132,92,27,7
1849,16,22,30,58,129,183,187,165,142,101,25,-5
1850,-28,36,21,78,109,167,177,167,124,70,58,11
1851,4,7,33,88,99,177,165,169,106,91,-1,-37
1852,20,19,25,78,130,155,191,161,134,86,71,31
1853,28,-9,1,70,111,155,183,179,132,94,51,-21
1854,-4,-16,43,98,131,155,179,163,144,100,31,23
1855,-19,13,41,76,110,157,175,187,148,108,35,-31
1856,20,27,43,96,107,168,177,196,128,96,19,8
1857,-6,-6,38,72,128,162,205,179,155,104,46,3
1858,-28,1,34,108,111,193,167,158,156,100,25,17
1859,-3,15,67,90,126,162,223,203,144,108,41,-11
1860,28,-19,28,66,140,158,165,160,126,88,31,13
1861,-29,25,51,85,133,164,172,198,146,114,53,2
1862,6,9,65,112,154,163,199,173,150,116,54,20
1863,21,14,44,101,144,174,193,193,131,102,52,15
