Quarters,Decimal Year,Life Satisfaction,Worthwhile,Happiness,Anxiety
Q1 2012,2012.125,7.43,7.69,7.33,3.05
Q2 2012,2012.375,7.40,7.65,7.23,3.09
Q3 2012,2012.625,7.46,7.70,7.30,3.04
Q4 2012,2012.875,7.47,7.71,7.32,3.01
Q1 2013,2013.125,7.46,7.70,7.33,3.02
Q2 2013,2013.375,7.47,7.71,7.31,2.96
Q3 2013,2013.625,7.51,7.74,7.40,2.88
Q4 2013,2013.875,7.50,7.73,7.39,2.97
Q1 2014,2014.125,7.53,7.76,7.39,2.93
Q2 2014,2014.375,7.58,7.80,7.44,2.90
Q3 2014,2014.625,7.58,7.80,7.44,2.90
Q4 2014,2014.875,7.61,7.82,7.45,2.85
Q1 2015,2015.125,7.65,7.86,7.49,2.82
Q2 2015,2015.375,7.65,7.84,7.50,2.84
Q3 2015,2015.625,7.64,7.83,7.44,2.86
Q4 2015,2015.875,7.64,7.83,7.46,2.93
Q1 2016,2016.125,7.65,7.84,7.49,2.88
Q2 2016,2016.375,7.66,7.85,7.42,2.92
Q3 2016,2016.625,7.66,7.86,7.51,2.89
Q4 2016,2016.875,7.69,7.86,7.51,2.92
Q1 2017,2017.125,7.68,7.86,7.50,2.94
Q2 2017,2017.375,7.69,7.89,7.51,2.91
Q3 2017,2017.625,7.69,7.88,7.51,2.93
Q4 2017,2017.875,7.67,7.88,7.55,2.91
Q1 2018,2018.125,7.68,7.87,7.51,2.85
Q2 2018,2018.375,7.69,7.87,7.54,2.82
Q3 2018,2018.625,7.71,7.90,7.54,2.89
Q3 2018,2018.875,7.71,7.87,7.54,2.89
Q1 2019,2019.125,7.72,7.89,7.57,2.90
Q2 2019,2019.375,7.67,7.88,7.52,2.96
Q3 2019,2019.625,7.66,7.86,7.51,2.94
Q4 2019,2019.875,7.67,7.86,7.52,3.00
Q1 2020,2020.125,7.65,7.85,7.39,3.22
