Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 08, 2023","15,868.31","15,946.57","15,706.31","15,774.93","15,774.93","80,939,300"
"Aug 07, 2023","15,877.54","15,962.61","15,824.78","15,950.76","15,950.76","68,246,900"
"Aug 04, 2023","15,917.01","15,973.96","15,784.52","15,951.86","15,951.86","77,046,600"
"Aug 03, 2023","15,879.03","15,920.32","15,807.85","15,893.38","15,893.38","82,642,000"
"Aug 02, 2023","16,027.65","16,140.76","15,955.31","16,020.02","16,020.02","74,404,800"
"Aug 01, 2023","16,414.79","16,430.66","16,240.40","16,240.40","16,240.40","63,456,600"
"Jul 31, 2023","16,434.66","16,528.97","16,427.47","16,446.83","16,446.83","60,748,100"
"Jul 28, 2023","16,356.38","16,490.13","16,336.42","16,469.75","16,469.75","70,297,300"
"Jul 27, 2023","16,162.16","16,408.80","16,131.64","16,406.03","16,406.03","96,512,200"
"Jul 26, 2023","16,183.70","16,212.91","16,000.04","16,131.46","16,131.46","76,242,600"
"Jul 25, 2023","16,169.75","16,225.89","16,135.60","16,211.59","16,211.59","56,468,900"
"Jul 24, 2023","16,126.71","16,208.76","16,121.27","16,190.95","16,190.95","51,532,000"
"Jul 21, 2023","16,125.21","16,181.34","16,103.48","16,177.22","16,177.22","69,913,700"
"Jul 20, 2023","16,059.22","16,211.43","16,050.98","16,204.22","16,204.22","66,295,300"
"Jul 19, 2023","16,190.00","16,240.79","16,075.17","16,108.93","16,108.93","62,950,200"
"Jul 18, 2023","16,042.03","16,140.20","16,031.07","16,125.49","16,125.49","56,765,300"
"Jul 17, 2023","16,013.52","16,102.51","15,995.45","16,068.65","16,068.65","45,553,500"
"Jul 14, 2023","16,123.13","16,149.12","16,071.74","16,105.07","16,105.07","61,718,900"
"Jul 13, 2023","16,009.26","16,185.11","16,000.38","16,141.03","16,141.03","64,992,600"
"Jul 12, 2023","15,842.26","16,044.28","15,806.28","16,023.00","16,023.00","72,341,400"
"Jul 11, 2023","15,716.26","15,807.66","15,659.10","15,790.34","15,790.34","60,828,200"
"Jul 10, 2023","15,585.34","15,722.03","15,545.33","15,673.16","15,673.16","53,384,600"
"Jul 07, 2023","15,515.00","15,661.41","15,456.16","15,603.40","15,603.40","67,259,700"
"Jul 06, 2023","15,816.11","15,846.25","15,495.84","15,528.54","15,528.54","80,363,000"
"Jul 05, 2023","15,930.16","15,982.96","15,901.39","15,937.58","15,937.58","66,456,400"
"Jul 04, 2023","16,082.93","16,103.95","16,023.72","16,039.17","16,039.17","42,493,900"
"Jul 03, 2023","16,187.91","16,209.29","16,070.49","16,081.04","16,081.04","52,047,600"
"Jun 30, 2023","15,989.43","16,176.55","15,978.90","16,147.90","16,147.90","85,583,300"
"Jun 29, 2023","15,960.47","15,998.67","15,920.04","15,946.72","15,946.72","54,568,800"
"Jun 28, 2023","15,922.71","15,994.31","15,906.88","15,949.00","15,949.00","69,914,300"
"Jun 27, 2023","15,873.73","15,895.70","15,758.13","15,846.86","15,846.86","63,273,400"
"Jun 26, 2023","15,874.15","15,874.90","15,713.70","15,813.06","15,813.06","72,427,600"
"Jun 23, 2023","15,862.79","15,917.14","15,733.12","15,829.94","15,829.94","108,856,500"
"Jun 22, 2023","15,867.65","15,988.21","15,810.48","15,988.16","15,988.16","65,000,700"
"Jun 21, 2023","16,082.75","16,145.29","16,002.27","16,023.13","16,023.13","62,212,100"
"Jun 20, 2023","16,100.29","16,184.30","16,069.10","16,111.32","16,111.32","68,396,400"
"Jun 19, 2023","16,272.21","16,302.29","16,189.57","16,201.20","16,201.20","52,459,700"
"Jun 16, 2023","16,306.63","16,427.42","16,276.79","16,357.63","16,357.63","211,233,000"
"Jun 15, 2023","16,275.73","16,301.73","16,165.66","16,290.12","16,290.12","80,150,500"
"Jun 14, 2023","16,219.09","16,336.27","16,217.45","16,310.79","16,310.79","75,755,600"
"Jun 13, 2023","16,218.20","16,232.70","16,088.47","16,230.68","16,230.68","72,345,000"
"Jun 12, 2023","16,052.91","16,126.30","16,021.55","16,097.87","16,097.87","61,393,600"
"Jun 09, 2023","15,993.02","15,998.90","15,924.51","15,949.84","15,949.84","58,242,200"
"Jun 08, 2023","15,951.61","16,019.00","15,913.95","15,989.96","15,989.96","59,532,100"
"Jun 07, 2023","15,998.10","16,020.28","15,909.85","15,960.56","15,960.56","67,870,200"
