Date,Open,High,Low,Close*,Adj Close**,Volume
"Aug 08, 2023","18,007.00","18,007.00","17,793.00","17,989.00","17,989.00","8,814"
"Aug 07, 2023","17,704.00","17,841.00","17,643.00","17,905.00","17,905.00","7,206"
"Aug 04, 2023","17,840.00","17,840.00","17,620.00","17,663.00","17,663.00","1,134"
"Aug 03, 2023","17,564.00","17,699.00","17,417.00","17,746.00","17,746.00","5,773"
"Aug 02, 2023","17,652.00","17,726.00","17,580.00","17,627.00","17,627.00","1,530"
"Aug 01, 2023","17,550.00","17,717.00","17,522.00","17,650.00","17,650.00","4,471"
"Jul 31, 2023","17,314.00","17,489.00","17,239.00","17,461.00","17,461.00","6,767"
"Jul 28, 2023","17,588.00","17,589.00","17,370.00","17,314.00","17,314.00","1,346"
"Jul 27, 2023","17,405.00","17,419.00","17,261.00","17,375.00","17,375.00","2,849"
"Jul 26, 2023","17,370.00","17,399.00","17,299.00","17,358.00","17,358.00","1,401"
"Jul 25, 2023","17,416.00","17,416.00","17,158.00","17,275.00","17,275.00","3,877"
"Jul 24, 2023","17,601.00","17,602.00","17,356.00","17,324.00","17,324.00","3,808"
"Jul 21, 2023","17,515.00","17,607.00","17,503.00","17,494.00","17,494.00","2,069"
"Jul 20, 2023","17,418.00","17,515.00","17,335.00","17,472.00","17,472.00","2,949"
"Jul 19, 2023","17,360.00","17,457.00","17,359.00","17,421.00","17,421.00","4,431"
"Jul 18, 2023","17,363.00","17,553.00","17,210.00","17,231.00","17,231.00","5,007"
"Jul 17, 2023","17,500.00","17,517.00","17,294.00","17,436.00","17,436.00","6,136"
"Jul 14, 2023","17,323.00","17,418.00","17,323.00","17,541.00","17,541.00",32
"Jul 13, 2023","17,371.00","17,502.00","17,273.00","17,362.00","17,362.00","9,149"
"Jul 12, 2023","17,458.00","17,458.00","17,355.00","17,386.00","17,386.00","6,727"
"Jul 11, 2023","17,677.00","17,679.00","17,564.00","17,535.00","17,535.00","1,447"
"Jul 10, 2023","17,645.00","17,804.00","17,570.00","17,753.00","17,753.00","1,593"
"Jul 07, 2023","17,883.00","17,922.00","17,743.00","17,747.00","17,747.00",556
"Jul 06, 2023","17,872.00","17,963.00","17,749.00","17,781.00","17,781.00","1,302"
"Jul 05, 2023","17,874.00","18,058.00","17,874.00","17,967.00","17,967.00","1,495"
"Jul 04, 2023","18,083.00","18,123.00","17,965.00","18,005.00","18,005.00","2,625"
"Jul 03, 2023","18,090.00","18,175.00","18,047.00","18,055.00","18,055.00","14,524"
"Jun 30, 2023","18,041.00","18,286.00","18,041.00","18,242.00","18,242.00","1,745"
"Jun 29, 2023","17,850.00","17,887.00","17,800.00","17,927.00","17,927.00","1,107"
"Jun 28, 2023","17,997.00","17,999.00","17,900.00","17,896.00","17,896.00","1,044"
"Jun 27, 2023","17,869.00","17,869.00","17,583.00","17,729.00","17,729.00","3,421"
"Jun 26, 2023","17,842.00","17,844.00","17,755.00","17,809.00","17,809.00","1,518"
"Jun 23, 2023","17,790.00","17,987.00","17,766.00","17,948.00","17,948.00","2,024"
"Jun 22, 2023","17,730.00","17,828.00","17,624.00","17,791.00","17,791.00","1,767"
"Jun 21, 2023","17,904.00","17,924.00","17,771.00","17,846.00","17,846.00","1,768"
"Jun 20, 2023","17,865.00","17,922.00","17,733.00","17,886.00","17,886.00","2,742"
"Jun 19, 2023","17,969.00","17,969.00","17,777.00","17,822.00","17,822.00","1,395"
"Jun 15, 2023","17,810.00","17,944.00","17,784.00","18,004.00","18,004.00","1,797"
"Jun 14, 2023","17,894.00","17,997.00","17,850.00","17,846.00","17,846.00","4,753"
"Jun 13, 2023","17,882.00","17,947.00","17,806.00","17,919.00","17,919.00","3,688"
"Jun 12, 2023","18,034.00","18,034.00","17,752.00","17,751.00","17,751.00","1,651"
"Jun 09, 2023","18,235.00","18,235.00","17,915.00","18,001.00","18,001.00","1,766"
"Jun 08, 2023","18,225.00","18,225.00","18,100.00","18,131.00","18,131.00","6,920"
"Jun 07, 2023","18,341.00","18,350.00","18,251.00","18,301.00","18,301.00",429
"Jun 06, 2023","18,284.00","18,387.00","18,268.00","18,374.00","18,374.00","1,558"
"Jun 05, 2023","18,686.00","18,686.00","18,367.00","18,320.00","18,320.00","9,685"
"Jun 02, 2023","18,646.00","18,694.00","18,522.00","18,672.00","18,672.00","4,863"
"Jun 01, 2023","18,566.00","18,703.00","18,358.00","18,568.00","18,568.00","3,698"
"May 31, 2023","18,500.00","18,616.00","18,450.00","18,393.00","18,393.00","1,242"
"May 30, 2023","18,774.00","18,850.00","18,668.00","18,595.00","18,595.00","1,265"
"May 29, 2023","18,684.00","18,761.00","18,546.00","18,629.00","18,629.00","2,168"
"May 26, 2023","18,579.00","18,699.00","18,455.00","18,600.00","18,600.00","3,089"
"May 25, 2023","18,239.00","18,547.00","18,239.00","18,558.00","18,558.00","6,576"
"May 24, 2023","18,377.00","18,403.00","18,236.00","18,239.00","18,239.00","3,195"
"May 23, 2023","18,717.00","18,772.00","18,602.00","18,646.00","18,646.00","5,751"
"May 22, 2023","18,884.00","18,886.00","18,735.00","18,703.00","18,703.00","2,061"
"May 19, 2023","18,750.00","18,969.00","18,749.00","18,971.00","18,971.00","1,437"
"May 18, 2023","18,922.00","18,951.00","18,744.00","18,796.00","18,796.00","2,405"
"May 17, 2023","18,460.00","18,742.00","18,460.00","18,649.00","18,649.00",159
"May 16, 2023","18,707.00","18,777.00","18,623.00","18,558.00","18,558.00",809
"May 15, 2023","18,549.00","18,794.00","18,549.00","18,622.00","18,622.00",597
"May 12, 2023","18,922.00","18,993.00","18,710.00","18,770.00","18,770.00","6,224"
"May 11, 2023","18,667.00","18,705.00","18,499.00","18,630.00","18,630.00","29,034"
"May 10, 2023","18,524.00","18,524.00","18,352.00","18,497.00","18,497.00","6,429"
"May 09, 2023","18,200.00","18,226.00","18,010.00","18,256.00","18,256.00","2,686"
"May 08, 2023","18,126.00","18,260.00","18,090.00","18,147.00","18,147.00",675
"May 05, 2023","17,998.00","18,178.00","17,992.00","18,141.00","18,141.00",289
"May 04, 2023","17,940.00","17,940.00","17,701.00","17,814.00","17,814.00","1,597"
"May 03, 2023","17,998.00","18,126.00","17,857.00","17,892.00","17,892.00","7,053"
"May 02, 2023","18,235.00","18,235.00","17,915.00","18,008.00","18,008.00","6,632"
"Apr 28, 2023","18,074.00","18,074.00","17,929.00","18,129.00","18,129.00","1,179"
